ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
211,Koramangala,Bangalore,Tandoor Hut,749.7590739687362,4.4,100.0,"Biryani,Chinese,North Indian,South Indian",5Th Block,59
221,Koramangala,Bangalore,Tunday Kababi,724.3999389814443,4.1,100.0,"Mughlai,Lucknowi",5Th Block,56
246,Jogupalya,Bangalore,Kim Lee,695.7911050492801,4.4,100.0,Chinese,Double Road,50
248,Indiranagar,Bangalore,New Punjabi Hotel,1461.243328880824,3.9,500.0,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57
249,Indiranagar,Bangalore,Nh8,631.9501487636381,4.0,50.0,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63
254,Indiranagar,Bangalore,Treat,732.7633190990089,4.5,100.0,"Mughlai,North Indian",100 Feet Road,56
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1500.0,4.5,500.0,"Mexican,Beverages,Salads",Double Road,53
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,754.1084132494158,4.3,100.0,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57
267,Domlur,Bangalore,Tea Brew,655.7142769099441,4.1,100.0,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57
308,Koramangala,Bangalore,Bangaliana,1500.0,4.0,500.0,Bengali,7Th Block,57
435,Koramangala,Bangalore,Bamey'S Restro Cafe,735.5006569014555,4.4,100.0,"Chinese,Thai,Nepalese",5Th Block,56
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,1491.7740736761352,4.3,500.0,"North Indian,Chinese",Cooke Town,55
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,698.8356887032423,4.2,100.0,"Mughlai,North Indian,Biryani",Mm Road,54
464,Sivanchetti Gardens,Bangalore,Urban Solace,536.1884363902415,2.9,80.0,"American,Continental",Ulsoor Lake,48
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,704.5644414959377,4.3,100.0,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,732.4550613325941,4.3,100.0,"Mughlai,North Indian",7Th Block,52
608,Domlur,Bangalore,Kerala Pavilion,670.1497051853393,4.1,100.0,"Kerala,Seafood",Domlur Layout,55
621,Indiranagar,Bangalore,Kitchen Of Joy,733.2563043643014,4.4,100.0,"Bengali,Fast Food,Chinese",Domlur,55
1050,Jayanagar,Bangalore,Nagarjuna Chimney,1500.0,4.2,1000.0,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,568.912596459233,2.9,80.0,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90
1304,Indiranagar,Bangalore,Esplanade,712.6702182714658,4.3,100.0,"Mughlai,Bengali",I Indirangar,54
1457,Banashankari,Bangalore,Hotel New Karavali,644.1805578312541,3.8,100.0,"North Indian,Chinese,South Indian",Bsk 1St Stage,53
1547,Masab Tank,Hyderabad,Dine Hill,1440.893472424493,4.1,500.0,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,1500.0,4.1,5000.0,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56
1593,Banjara Hills,Hyderabad,Sarvi Bakery,719.3286351176331,4.1,100.0,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58
1609,Andheri East,Mumbai,Kung Fu Panda,697.6403130205255,4.3,100.0,Chinese  Thai  Asian,Marol,58
1617,Powai,Mumbai,Kosho,718.2005467085423,4.2,100.0,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56
1844,Punjagutta,Hyderabad,Chinese Pavilion,1494.966488303964,4.3,500.0,"Chinese,Seafood",Nagarjuna Circle,64
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,776.8819229843554,4.2,100.0,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69
1874,Indiranagar,Bangalore,Mamagoto,686.0890232357161,4.2,100.0,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59
1884,Powai,Mumbai,Hakka Express,725.002269157616,4.0,100.0,"Chinese,Asian,Thai",Narayan Plaza,48
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,1500.0,4.3,500.0,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57
2042,Aundh,Pune,Juice Destination,1500.0,4.2,500.0,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60
2047,Aundh,Pune,Hyderabadi Spice,1500.0,4.2,1000.0,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58
2102,Aundh,Pune,Cafe Peterdonuts,583.1578674157829,4.1,50.0,"Continental,Desserts",Gaikwad Nagar,71
2250,Baner,Pune,Karolbaug,608.2617060107236,4.1,50.0,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,1500.0,4.4,500.0,North Indian,Guru Hargobindji Marg  Andheri East,65
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,697.8676931952563,4.1,100.0,North Indian  South Indian,S P Road,66
2348,Kalasiguda,Hyderabad,Bluefox,1500.0,4.2,1000.0,Biryani  North Indian  Chinese  Tandoor,Sd Road,68
2516,Aundh,Pune,Taaareef,802.2764611706672,4.4,100.0,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,1500.0,4.2,1000.0,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57
