ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,price_log
211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100.0,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,5.703782474656201
221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100.0,"Mughlai,Lucknowi",5Th Block,56,5.703782474656201
246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100.0,Chinese,Double Road,50,6.476972362889683
248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500.0,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,5.521460917862246
249,Indiranagar,Bangalore,Nh8,350.0,4.0,50.0,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63,5.857933154483459
254,Indiranagar,Bangalore,Treat,800.0,4.5,100.0,"Mughlai,North Indian",100 Feet Road,56,6.684611727667927
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500.0,"Mexican,Beverages,Salads",Double Road,53,6.907755278982137
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100.0,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57,5.0106352940962555
267,Domlur,Bangalore,Tea Brew,350.0,4.1,100.0,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,5.857933154483459
308,Koramangala,Bangalore,Bangaliana,300.0,4.0,500.0,Bengali,7Th Block,57,5.703782474656201
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100.0,"Chinese,Thai,Nepalese",5Th Block,56,5.991464547107982
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500.0,"North Indian,Chinese",Cooke Town,55,5.521460917862246
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100.0,"Mughlai,North Indian,Biryani",Mm Road,54,6.2766434893416445
464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80.0,"American,Continental",Ulsoor Lake,48,6.214608098422191
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100.0,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59,5.0106352940962555
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100.0,"Mughlai,North Indian",7Th Block,52,5.66988092298052
608,Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100.0,"Kerala,Seafood",Domlur Layout,55,5.703782474656201
621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100.0,"Bengali,Fast Food,Chinese",Domlur,55,5.521460917862246
